price,rating,category,availability,target
51.77,3,Poetry,1,0
53.74,1,Historical Fiction,1,0
50.1,1,Fiction,1,0
47.82,4,Mystery,1,0
54.23,5,History,1,0
22.65,1,Young Adult,1,0
33.34,4,Business,1,1
17.93,3,Default,1,0
22.6,4,Default,1,1
52.15,1,Poetry,1,0
13.99,2,Default,1,0
20.66,4,Poetry,1,1
17.46,5,Young Adult,1,1
52.29,5,Sequential Art,1,0
35.02,5,Music,1,1
57.25,3,Music,1,0
23.88,1,Poetry,1,0
37.59,1,Science Fiction,1,0
51.33,2,Politics,1,0
45.17,2,Travel,1,0
12.84,1,Thriller,1,0
37.32,2,Music,1,0
30.52,3,Food and Drink,1,0
25.27,5,Romance,1,1
34.53,5,Romance,1,1
54.64,3,Childrens,1,0
22.5,3,Default,1,0
53.13,3,Default,1,0
40.3,5,Nonfiction,1,0
44.18,4,Art,1,0
17.66,5,Spirituality,1,1
31.05,3,Nonfiction,1,0
23.82,5,Thriller,1,1
36.89,1,Childrens,1,0
15.94,5,Philosophy,1,1
33.29,3,Default,1,0
18.02,2,Default,1,0
19.63,1,Mystery,1,0
52.22,4,Thriller,1,0
33.63,2,Poetry,1,0
57.31,3,Poetry,1,0
26.41,2,Nonfiction,1,0
47.61,5,Fiction,1,0
23.11,5,Nonfiction,1,1
45.07,2,New Adult,1,0
31.77,1,Contemporary,1,0
50.27,5,Fiction,1,0
14.27,4,Poetry,1,1
44.18,4,Nonfiction,1,0
18.78,3,Fantasy,1,0
25.52,1,History,1,0
16.28,1,Sequential Art,1,0
31.12,3,Nonfiction,1,0
19.49,4,Sequential Art,1,1
17.27,5,Fiction,1,1
19.09,1,Add a comment,1,0
56.13,1,Childrens,1,0
56.41,1,Food and Drink,1,0
56.5,4,Mystery,1,0
45.22,3,Young Adult,1,0
38.16,4,Sequential Art,1,1
54.11,3,Fiction,1,0
42.96,4,Science,1,0
23.89,4,Add a comment,1,1
16.77,3,Nonfiction,1,0
20.59,5,Default,1,1
37.13,1,Nonfiction,1,0
56.06,1,Nonfiction,1,0
58.11,4,Philosophy,1,0
49.05,3,Health,1,0
40.76,3,Add a comment,1,0
19.73,1,History,1,0
32.24,5,Spirituality,1,1
41.83,4,Nonfiction,1,0
39.58,2,Default,1,0
39.25,2,Horror,1,0
25.02,3,Fantasy,1,0
51.04,2,Sequential Art,1,0
19.83,2,Nonfiction,1,0
50.4,3,Sequential Art,1,0
13.61,5,Sequential Art,1,1
13.34,5,Fantasy,1,1
18.97,1,Sequential Art,1,0
36.28,2,History,1,0
10.16,3,Sequential Art,1,0
15.44,4,Sequential Art,1,1
48.41,1,Sequential Art,1,0
46.35,1,Self Help,1,0
14.07,3,Add a comment,1,0
14.86,2,Young Adult,1,0
33.37,2,Food and Drink,1,0
56.4,2,Fantasy,1,0
14.02,4,Food and Drink,1,1
46.91,2,Sequential Art,1,0
45.61,3,Sequential Art,1,0
19.92,2,Sequential Art,1,0
40.11,1,Food and Drink,1,0
53.9,2,Add a comment,1,0
35.67,5,Science Fiction,1,1
22.0,4,Nonfiction,1,1
57.36,5,Science,1,0
29.17,2,Sequential Art,1,0
54.63,3,Sequential Art,1,0
46.03,1,Self Help,1,0
33.97,1,Romance,1,0
22.11,2,Sequential Art,1,0
29.69,3,Historical Fiction,1,0
15.97,4,Romance,1,1
21.96,1,Romance,1,0
54.35,2,Nonfiction,1,0
37.97,2,Religion,1,0
51.99,4,Sequential Art,1,0
43.29,3,Fantasy,1,0
36.72,4,Sequential Art,1,1
17.08,4,Sequential Art,1,1
29.14,5,Nonfiction,1,1
28.81,3,Young Adult,1,0
49.46,2,Default,1,0
37.92,2,Sequential Art,1,0
28.09,2,Fantasy,1,0
30.81,1,Nonfiction,1,0
42.95,1,Default,1,0
56.76,5,Default,1,0
16.64,1,Mystery,1,0
55.53,5,Historical Fiction,1,0
28.13,4,Young Adult,1,1
52.37,1,Fantasy,1,0
54.0,5,Christian,1,0
21.87,4,Religion,1,1
43.3,4,Science Fiction,1,0
21.04,2,Fiction,1,0
41.6,3,Default,1,0
35.07,3,Fantasy,1,0
59.64,1,History,1,0
52.72,1,Default,1,0
58.08,4,Childrens,1,0
24.12,1,Romance,1,0
42.15,4,Fiction,1,0
12.61,5,Business,1,1
17.44,4,Philosophy,1,1
33.14,1,Sequential Art,1,0
27.37,4,Default,1,1
51.36,5,Fiction,1,0
36.0,2,Default,1,0
10.65,1,Science Fiction,1,0
43.54,2,Nonfiction,1,0
38.21,2,Nonfiction,1,0
37.34,5,Food and Drink,1,1
44.1,4,Mystery,1,0
43.29,3,New Adult,1,0
55.85,1,New Adult,1,0
37.6,2,Food and Drink,1,0
10.97,1,Crime,1,0
41.82,4,Default,1,0
36.95,1,Historical Fiction,1,0
44.28,1,Fantasy,1,0
55.02,2,Default,1,0
17.24,1,Nonfiction,1,0
23.15,2,Default,1,0
41.25,1,Food and Drink,1,0
32.0,3,Default,1,0
38.49,5,Nonfiction,1,1
33.34,5,Default,1,1
10.93,2,Autobiography,1,0
27.55,3,Business,1,0
55.99,2,Romance,1,0
16.24,4,Romance,1,1
26.12,2,Science Fiction,1,0
12.23,2,Nonfiction,1,0
23.99,2,Business,1,0
29.06,3,Add a comment,1,0
20.27,1,Default,1,0
43.55,5,Young Adult,1,0
36.94,1,Default,1,0
20.47,5,Christian Fiction,1,1
41.06,1,Default,1,0
14.19,4,Poetry,1,1
38.28,1,Young Adult,1,0
41.05,1,Poetry,1,0
30.25,5,Historical Fiction,1,1
28.26,5,Add a comment,1,1
10.76,1,Default,1,0
16.85,2,Biography,1,0
13.47,3,Childrens,1,0
48.56,5,Young Adult,1,0
19.15,2,Default,1,0
57.36,4,Womens Fiction,1,0
42.98,1,Fantasy,1,0
22.16,2,Default,1,0
49.43,4,Travel,1,0
29.99,5,Young Adult,1,1
21.36,1,Horror,1,0
29.0,1,Default,1,0
53.53,5,Fiction,1,0
41.62,4,Sequential Art,1,0
54.59,4,Default,1,0
34.95,4,Default,1,1
37.72,5,Default,1,1
35.61,3,Romance,1,0
42.16,3,Food and Drink,1,0
19.19,5,Erotica,1,1
19.43,3,Nonfiction,1,0
49.46,4,Christian Fiction,1,0
37.8,2,Spirituality,1,0
30.8,3,Nonfiction,1,0
27.43,2,Nonfiction,1,0
11.11,2,Default,1,0
36.5,2,Sequential Art,1,0
15.38,5,Sequential Art,1,1
15.48,2,Default,1,0
46.82,4,Default,1,0
18.46,3,Default,1,0
36.58,1,Cultural,1,0
50.54,5,Default,1,0
12.51,5,Nonfiction,1,1
24.7,3,History,1,0
43.61,5,Thriller,1,0
37.34,4,Sequential Art,1,1
14.36,2,Young Adult,1,0
52.65,4,Politics,1,0
38.2,4,Nonfiction,1,1
19.6,2,Nonfiction,1,0
53.9,1,Sequential Art,1,0
12.96,5,Childrens,1,1
37.1,4,Default,1,1
46.31,2,Young Adult,1,0
45.95,2,Default,1,0
22.08,2,Childrens,1,0
25.38,2,Sequential Art,1,0
27.12,2,Young Adult,1,0
43.04,2,Nonfiction,1,0
56.8,4,Default,1,0
25.91,5,Add a comment,1,1
32.61,3,Romance,1,0
27.88,5,Fiction,1,1
52.67,4,Fiction,1,0
46.02,5,Fantasy,1,0
44.48,5,Default,1,0
37.4,5,Add a comment,1,1
54.04,1,Default,1,0
16.88,3,Default,1,0
28.08,4,Historical Fiction,1,1
10.4,1,Psychology,1,0
44.07,1,Humor,1,0
23.4,1,Horror,1,0
17.43,3,Nonfiction,1,0
54.21,2,Mystery,1,0
40.67,2,Add a comment,1,0
52.26,2,Fantasy,1,0
28.77,3,Food and Drink,1,0
13.82,2,Thriller,1,0
25.85,3,Fiction,1,0
48.78,1,Add a comment,1,0
35.35,5,Young Adult,1,1
44.73,4,Fantasy,1,0
15.77,1,Nonfiction,1,0
39.24,1,Thriller,1,0
13.92,1,Mystery,1,0
10.69,1,Mystery,1,0
45.21,3,Fiction,1,0
45.58,1,Nonfiction,1,0
11.89,5,Sequential Art,1,1
26.41,3,Fiction,1,0
39.5,5,Default,1,1
44.74,4,Science,1,0
52.79,5,Contemporary,1,0
35.43,4,Sequential Art,1,1
55.84,4,Fiction,1,0
48.87,3,Travel,1,0
46.78,4,Poetry,1,0
47.82,3,Sequential Art,1,0
25.48,2,Sequential Art,1,0
23.57,3,Childrens,1,0
50.89,5,Poetry,1,0
10.56,3,Horror,1,0
52.15,3,Self Help,1,0
18.28,2,Childrens,1,0
11.83,5,Humor,1,1
21.95,2,Nonfiction,1,0
38.39,2,Sequential Art,1,0
41.56,1,Fiction,1,0
24.48,3,Fiction,1,0
40.36,1,Young Adult,1,0
28.9,1,Fiction,1,0
37.61,2,Add a comment,1,0
38.85,5,Business,1,1
53.95,3,Childrens,1,0
49.83,3,Default,1,0
51.51,2,Sequential Art,1,0
18.03,1,Music,1,0
29.14,5,Nonfiction,1,1
46.91,4,Default,1,0
26.79,5,Nonfiction,1,1
16.28,5,Default,1,1
19.55,1,Food and Drink,1,0
29.65,1,Fantasy,1,0
25.98,4,Humor,1,1
10.6,4,Fiction,1,1
14.75,5,Humor,1,1
47.02,3,Default,1,0
28.82,1,Romance,1,0
58.79,3,Nonfiction,1,0
10.23,5,Default,1,1
30.03,5,Religion,1,1
45.84,3,Historical Fiction,1,0
49.05,3,Art,1,0
15.06,4,Nonfiction,1,1
46.47,3,Default,1,0
27.09,3,Fiction,1,0
57.62,5,Sequential Art,1,0
14.39,4,Fiction,1,1
51.75,5,Nonfiction,1,0
54.07,2,Health,1,0
55.35,1,Young Adult,1,0
40.12,2,Horror,1,0
37.51,5,Fantasy,1,1
11.21,5,Fiction,1,1
36.58,1,Default,1,0
47.72,2,Christian,1,0
25.01,3,Fiction,1,0
22.13,4,Add a comment,1,1
44.14,1,Default,1,0
56.02,4,Fantasy,1,0
11.23,4,Default,1,1
43.28,1,Default,1,0
47.27,1,Default,1,0
20.29,4,Add a comment,1,1
50.83,3,Young Adult,1,0
31.85,3,Default,1,0
46.23,2,Default,1,0
37.8,4,Nonfiction,1,1
49.32,5,Nonfiction,1,0
32.01,2,Sequential Art,1,0
28.01,1,Food and Drink,1,0
50.62,5,Food and Drink,1,0
